Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,PAM-2021-110728,09/02/2021,PSEGLI,HOLTSVILLE,Suffolk,11742,,,8G973,Battery,"EmPower CES, LLC",NM,10,POINT (-73.0424152 40.8128369)
12/31/2023,CH-15204,07/15/2022,Central Hudson,Tivoli,Dutchess,12583,Poughkeepsie,Milan,7062,Battery,SunCommon,NM,5,POINT (-73.9132447 42.0632397)
12/31/2023,16855,09/06/2022,NYSEG,Chatham,Columbia,12037,Mechanicville,NYS-KLINE KILL 631,1205403,Battery,PlugPV LLC,NM,34.8,POINT (-73.599105 42.359395)
12/31/2023,PAM-2022-174115,11/18/2022,PSEGLI,DIX HILLS,Suffolk,11746,,,7B701,Battery,"Tesla, Inc.",NM,25,POINT (-73.410015 40.8429)
12/31/2023,CH-11663,09/26/2019,Central Hudson,Shady,Ulster,12409,Kingston,Woodstock,3012,Battery,Tesla Energy,NM,20,POINT (-74.1596501 42.0420371)
12/31/2023,CH-12444,05/01/2020,Central Hudson,Woodstock,Ulster,12498,Kingston,Woodstock,3013,Battery,"Tesla Energy Operations, Inc.",NM,5,POINT (-74.114926 42.039343)
12/31/2023,LEG-03519,05/21/2013,Con Ed,Woodside,Queens,11377,CENY-Q,Newtown,BD NWK,Battery,Green Charge Networks LLC,,50,POINT (-73.903685 40.747185)
12/31/2023,PAM-2019-64517,08/19/2019,PSEGLI,Massapequa,Nassau,11758,,,5U217,Battery,TESLA,NM,10,POINT (-73.474285 40.680415)
12/31/2023,SDG-04086,11/07/2017,Con Ed,Cortlandt Manor,Westchester,10567,CENY-W,Buchanan,13W74,Battery,SolarCity,,10,POINT (-73.8851763 41.2956208)
12/31/2023,PAM-2021-108998,06/15/2021,PSEGLI,N BELLMORE,Nassau,11710,,,5RK264,Battery,"EmPower CES, LLC",NM,5,POINT (-73.539123261 40.69088885)
12/31/2023,PAM-2019-77227,03/25/2020,PSEGLI,Hicksville,Nassau,11801,,,5B375,Battery,Sunrun_ Inc.,NM,5,POINT (-73.52431 40.76632)
12/31/2023,PAM-2020-79829,06/12/2020,PSEGLI,Commack,Suffolk,11725,,,6HL815,Battery,TESLA,NM,10,POINT (-73.2965971 40.8393268)
12/31/2023,PAM-2020-77901,11/16/2020,PSEGLI,Lynbrook,Nassau,11563,,,2K537,Battery,EmPower  Solar,NM,5,POINT (-73.673585 40.65998)
12/31/2023,CDG-00362,06/12/2021,O&R,Middletown,Orange,10940,West,Westtown,103-4-13,Battery,Borrego Solar,CDG,1560,POINT (-74.419957 41.4452505)
12/31/2023,PAM-2022-203998,06/22/2022,PSEGLI,CNTRL ISLIP,Suffolk,11722,,,7S7P9,Battery,"Tesla, Inc.",NM,5,POINT (-73.21059 40.78255)
12/31/2023,PAM-2022-224305,01/27/2023,PSEGLI,LAKE GROVE,Suffolk,11755,,,8W664,Battery,"Tesla, Inc.",NM,5,POINT (-73.117305 40.84379)
